DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
31-Mar-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,23,241.712,101.076,208.002,22.915,79.77891,%,33.709,88.231,4.912,920,"146,889","3,290",,production,OP
01-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,21.69,242.67,101.081,208.546,22.955,66.72312,%,34.124,88.229,5.581,879,"140,622","3,125",,production,OP
03-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,14.48,253.093,100.947,212.492,18.698,30.30538,%,40.601,80.083,11.318,474,"75,415","1,760",,production,OP
04-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.902,101.141,207.929,22.64,75.71153,%,33.974,88.025,4.972,982,"150,746","3,299",,production,OP
05-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,12.53,242.864,101.11,208.554,22.911,39.96249,%,34.31,88,5.487,463,"76,682","2,126",,production,OP
09-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,0,298.422,98.886,201.519,3.477,1.1877,%,96.903,4.491,96.422,0,0,0,,production,OP
10-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,6.31,261.572,100.808,216.583,13.52,11.46654,%,44.989,68.941,14.978,94,"17,514",393,,production,OP
11-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,243.227,101.145,206.747,20.831,59.11393,%,36.48,85.962,7.392,934,"148,427","3,334",,production,OP
12-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.803,101.204,213.682,17.416,66.20072,%,29.122,86.402,8.562,963,"153,883","3,406",,production,OP
13-Apr-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.411,101.157,208.047,22.755,71.85809,%,34.364,87.784,5.318,999,"158,800","3,454",,production,OP
